02/11/2018 16:57 - NORIVAL | ID =  | CI = 25661 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
05/11/2018 08:39 - SANDRA | ID =  | CI = 25664 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 369.30
05/11/2018 14:53 - DENISESANTOS | ID =  | CI = 25667 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 645.54
07/11/2018 08:35 - STEFANIAESTEVO | ID =  | CI = 25676 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.00
07/11/2018 08:48 - STEFANIAESTEVO | ID = 25228 | CI = 25676 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.00
07/11/2018 09:01 - STEFANIAESTEVO | ID = 25228 | CI = 25676 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.00
08/11/2018 09:26 - NORIVAL | ID =  | CI = 25695 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 26.10
08/11/2018 09:31 - NORIVAL | ID =  | CI = 25696 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 15.00
08/11/2018 09:31 - NORIVAL | ID =  | CI = 25696 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 104.80
09/11/2018 11:42 - JENS | ID =  | CI = 25705 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 60.00
09/11/2018 11:42 - JENS | ID =  | CI = 25705 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.38
09/11/2018 11:42 - JENS | ID =  | CI = 25705 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 72.00
09/11/2018 13:25 - LUZMARINA | ID =  | CI = 25707 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 76.20
10/11/2018 12:19 - LUISMORETTI | ID =  | CI = 25711 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
10/11/2018 12:19 - LUISMORETTI | ID =  | CI = 25711 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 78.30
10/11/2018 13:27 - NORIVAL | ID =  | CI = 25712 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
10/11/2018 13:27 - NORIVAL | ID =  | CI = 25712 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.50
10/11/2018 18:17 - NORIVAL | ID =  | CI = 25713 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 11.50
10/11/2018 18:17 - NORIVAL | ID =  | CI = 25713 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 29.35
12/11/2018 08:07 - LUISMOREIRA | ID =  | CI = 25714 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 67.80
12/11/2018 12:16 - ELTON | ID =  | CI = 25719 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 111.00
12/11/2018 12:16 - ELTON | ID =  | CI = 25719 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 395.41
12/11/2018 12:16 - ELTON | ID =  | CI = 25719 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 34.63
12/11/2018 12:16 - ELTON | ID =  | CI = 25719 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 46.00
12/11/2018 12:16 - ELTON | ID =  | CI = 25719 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1200.00
12/11/2018 14:11 - OTAVIOGIRO | ID =  | CI = 25721 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
12/11/2018 14:15 - OTAVIOGIRO | ID =  | CI = 25722 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 28.50
12/11/2018 14:17 - OTAVIOGIRO | ID =  | CI = 25723 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
12/11/2018 14:17 - OTAVIOGIRO | ID =  | CI = 25723 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 69.00
12/11/2018 14:17 - OTAVIOGIRO | ID =  | CI = 25723 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 18.00
12/11/2018 14:20 - OTAVIOGIRO | ID =  | CI = 25724 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 130.00
12/11/2018 14:20 - OTAVIOGIRO | ID =  | CI = 25724 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 63.66
12/11/2018 14:23 - OTAVIOGIRO | ID =  | CI = 25725 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 17.30
12/11/2018 14:24 - OTAVIOGIRO | ID =  | CI = 25726 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.23
12/11/2018 14:31 - OTAVIOGIRO | ID =  | CI = 25727 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 110.01
12/11/2018 14:31 - OTAVIOGIRO | ID =  | CI = 25727 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 337.20
14/11/2018 12:38 - MICHELAAUGUSTO | ID =  | CI = 25742 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.05
14/11/2018 12:38 - MICHELAAUGUSTO | ID =  | CI = 25742 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 308.23
14/11/2018 12:38 - MICHELAAUGUSTO | ID =  | CI = 25742 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 700.00
14/11/2018 16:17 - NORIVAL | ID =  | CI = 25746 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 169.40
